บาง	b-aa-ng^-0|
ร่อน	r-@@-n^-2|
เกี้ยว	k-iia-w^-2|
แกว	kw-xx-z^-0|
แกะ	k-x-z^-1|
ลวด	l-uua-t^-2|
ชะลอ	ch-a-z^-3|l-@@-z^-0|
โรค	r-oo-k^-2|
พระพุทธพจนวราภรณ์	phr-a-z^-3|ph-u-t^-3|th-a-z^-0|ph-o-t^-3|c-a-z^-0|n-a-z^-3|w-a-z^-3|r-aa-z^-0|ph-@@-n^-0|
เลปโตสไปโรซีส	l-e-p^-3|t-oo-s^-3|p-a-j^-0|r-oo-z^-0|s-ii-s^-3|
แท้	th-xx-z^-3|
เคลือบ	khl-vva-p^-2|
เค	kh-ee-z^-0|
แสง	s-xx-ng^-4|
แฟลช	fl-xx-ch^-1|
กล้อง	kl-@@-ng^-2|
พานทองแท้	ph-aa-n^-0|th-@@-ng^-0|th-xx-z^-3|
เหยเก	j-ee-z^-4|k-ee-z^-0|
โหล	l-oo-z^-4|
แปรง	pr-xx-ng^-0|
ชิ่ง	ch-i-ng^-2|
ไฟฟ้า	f-a-j^-0|f-aa-z^-3|
โหมฮึก	h-oo-m^-4|h-v-k^-3|
โคก	kh-oo-k^-2|
ชุม	ch-u-m^-0|
ฮึก	h-v-k^-3|
เหิม	h-qq-m^-4|
โฆษก	kh-oo-z^-0|s-o-k^-1|
สหภาพ	s-a-z^-0|h-a-z^-1|ph-aa-p^-2|
แถลง	th-a-z^-1|l-xx-ng^-4|
บรัสเซลส์	br-a-s^-3|s-ee-l^-0|
อาละวาด	z-aa-z^-0|l-a-z^-3|w-aa-t^-2|
ลาก	l-aa-k^-2|
หมา	m-aa-z^-4|
บัญชี	b-a-n^-0|ch-ii-z^-0|
หายใจ	h-aa-j^-4|c-a-j^-0|
เที่ยง	th-iia-ng^-2|
ทวน	th-uua-n^-0|
ทึ้ง	th-v-ng^-3|
ดุล	d-u-n^-0|
ตัวเอง	t-uua-z^-0|z-ee-ng^-0|
บุคลิก	b-u-k^-1|kh-a-z^-3|l-i-k^-3|
เปรี้ยว	pr-iia-w^-2|
คล่อง	khl-@@-ng^-2|
สัมภาษณ์	s-a-m^-4|ph-aa-t^-2|
พิมพ์	ph-i-m^-0|
ซันเดย์	s-a-n^-0|d-ee-z^-0|
เท	th-ee-z^-0|
เล	l-ee-z^-0|
กราฟ	kr-aa-f^-3|
ไดรฟ์	dr-a-j^-3|
ฮอตช็อต	h-@@-t^-3|ch-@-t^-1|
เกียว	k-iia-w^-0|
ยัวะ	j-ua-z^-0|
วิวาทะ	w-i-z^-3|w-aa-z^-0|th-a-z^-3|
ตู้	t-uu-z^-2|
กฎ	k-o-t^-1|
ลอบ	l-@@-p^-2|
บัส	b-a-s^-3|
เควตต้า	khw-ee-t^-1|t-aa-z^-2|
ตะวันตก	t-a-z^-1|w-a-n^-0|t-o-k^-1|
เฉียง	ch-iia-ng^-4|
พรม	phr-o-m^-0|
แดน	d-xx-n^-0|
อัฟกานิสถาน	z-a-f^-3|k-aa-z^-0|n-i-z^-3|s-a-z^-0|th-aa-n^-4|
เยาะ	j-@-z^-3|
เหี้ยม	h-iia-m^-2|
บอ	b-@@-z^-0|
ดี้โกลฟ	d-ii-z^-2|kl-oo-f^-3|
ชนิด	ch-a-z^-0|n-i-t^-3|
งอ	ng-@@-z^-0|
อุปนิสัย	z-u-p^-1|p-a-z^-1|n-i-z^-3|s-a-j^-4|
บรู๊ค	br-uu-k^-3|
ดนุ	d-a-z^-0|n-u-z^-3|
ตอ	t-@@-z^-0|
โดด	d-oo-t^-1|
ลิ่ว	l-i-w^-2|
ตุ๋น	t-u-n^-4|
ดังนั้น	d-a-ng^-0|n-a-n^-3|
กระตุ้น	kr-a-z^-1|t-u-n^-2|
การณ์	k-aa-n^-0|
สำคัญ	s-a-m^-4|kh-a-n^-0|
อัลบั้มเพลง	z-a-n^-0|l-a-z^-0|b-a-m^-2|phl-ee-ng^-0|
ฮิต	h-i-t^-3|
สะดุ้ง	s-a-z^-1|d-u-ng^-2|
ที	th-ii-z^-0|
โครม	khr-oo-m^-0|
สนั่น	s-a-z^-1|n-a-n^-1|
ช่อน	ch-@@-n^-2|
สวาย	s-a-z^-1|w-aa-j^-4|
ฉลาม	ch-a-z^-1|l-aa-m^-4|
ฮือฮา	h-vv-z^-0|h-aa-z^-0|
ปลาร้า	pl-aa-z^-0|r-aa-z^-3|
จำหน่าย	c-a-m^-0|n-aa-j^-1|
บะหมี่	b-a-z^-1|m-ii-z^-1|
เกี๊ยว	k-iia-w^-3|
ทั่วไป	th-uua-z^-2|p-a-j^-0|
ร้อน	r-@@-n^-3|
สราวุธ	s-a-z^-1|r-aa-z^-0|w-u-t^-3|
แซ่อุ๋ย	s-xx-z^-2|z-u-j^-4|
อู่	z-uu-z^-1|
บางนอน	b-aa-ng^-0|n-@@-n^-0|
คณะกรรมการ	kh-a-z^-0|n-a-z^-3|k-a-m^-0|m-a-z^-0|k-aa-n^-0|
พลเรือเอก	ph-o-n^-0|r-vva-z^-0|z-ee-k^-1|
นพ	n-o-p^-3|
จัน	c-a-n^-0|
ทวา	th-a-z^-3|w-aa-z^-0|
นิช	n-i-t^-3|
สะเก็ด	s-a-z^-1|k-e-t^-1|
รู	r-uu-z^-0|
	c-u-t^-1|
ห้วยปลากอง	m-uu-z^-1|
ขะเนจื้อ	z-a-m^-0|ph-qq-z^-0|
แม่ระมาด	
ทัน	th-a-n^-0|
ธวัช	th-a-z^-3|w-a-t^-3|
หัก	h-a-k^-1|
รวดเร็ว	r-uua-t^-2|r-e-w^-0|
ลื่น	l-vv-n^-2|
ไถล	th-a-z^-1|l-a-j^-4|
ตกลง	t-o-k^-1|l-o-ng^-0|
เหว	w-ee-z^-4|
ตลบ	t-a-z^-1|l-o-p^-1|
ค้าง	kh-aa-ng^-3|
ทาวเวอร์จัมพ์	th-aa-w^-0|w-qq-z^-2|c-a-m^-3|
ภาย	ph-aa-j^-0|
ไหว	w-a-j^-4|
สำรับ	s-a-m^-4|r-a-p^-3|
แบล็กลิสต์	bl-x-k^-3|l-ii-s^-3|
กล้านรงค์	kl-aa-z^-2|n-a-z^-0|r-o-ng^-0|
เฉย	ch-qq-j^-4|
หรอก	r-@@-k^-1|
เว็บ	w-e-p^-3|
เตอร์ไมเคิล	t-qq-z^-0|m-a-j^-0|kh-qq-l^-0|
หว่องชาง	w-@-ng^-1|ch-aa-ng^-0|
อธิบาย	z-a-z^-1|th-i-z^-3|b-aa-j^-0|
ขั้น	kh-a-n^-2|
ดัด	d-a-t^-1|
อิม	z-i-m^-0|
เมจ	m-ee-t^-2|
พลัส	phl-a-s^-3|
แอค	z-xx-k^-3|
ทีฟ	th-ii-p^-3|
พอยท์	ph-@@-j^-0|
วอร์ช	w-@@-ch^-3|
ดอกซ์	d-@@-k^-1|
สุริยะ	s-u-z^-1|r-i-z^-3|j-a-z^-3|
เจ๋ง	c-ee-ng^-4|
แหงน	ng-xx-n^-4|
ย่น	j-o-n^-2|
บึม	b-v-m^-0|
ซีโฟร์	s-ii-z^-0|f-oo-z^-0|
เหวก	w-ee-k^-1|
เป็นการ	p-e-n^-0|k-aa-n^-0|
หมิ่น	m-i-n^-1|
ศักดิ์ศรี	s-a-k^-1|s-ii-z^-4|
หยาม	j-aa-m^-4|
เกียรติ	k-iia-t^-1|
ผู้หญิง	ph-uu-z^-2|j-i-ng^-4|
แอบ	z-xx-p^-1|
โปสเตอร์	p-oo-s^-3|t-qq-z^-2|
ตัดสิน	t-a-t^-1|s-i-n^-4|
สำรอง	s-a-m^-4|r-@@-ng^-0|
เฟลิ	f-ee-z^-0|l-i-z^-3|
เปรามอสริโซ	pr-a-w^-0|m-@@-s^-3|r-i-z^-1|s-oo-z^-0|
เม็กซิโก	m-e-k^-3|s-i-z^-0|k-oo-z^-0|
มาร์ทา	m-aa-z^-0|th-aa-z^-0|
อาสาสมัคร	z-aa-z^-0|s-aa-z^-4|s-a-z^-0|m-a-k^-1|
เดอฟอกซ์	d-qq-z^-0|f-@@-k^-3|
สตรี	s-a-z^-1|tr-ii-z^-0|
แคนาดา	kh-xx-z^-0|n-aa-z^-0|d-aa-z^-0|
เซซิเลีย	s-ee-z^-0|s-i-z^-3|l-iia-z^-0|
มาดูโร	m-aa-z^-0|d-uu-z^-0|r-oo-z^-0|
ฮอนดูรัส	h-@@-n^-0|d-uu-z^-0|r-a-s^-3|
ลอเรน่า	l-@@-z^-0|r-ee-z^-0|n-aa-z^-2|
เดอ	d-qq-z^-0|
โรด	r-oo-t^-3|
ริ	r-i-z^-3|
เควซ	khw-ee-t^-3|
เพิ่ม	ph-qq-m^-2|
ซา	s-aa-z^-0|
ฟื้น	f-vv-n^-3|
ไข้	kh-a-j^-2|
ทุน	th-u-n^-0|
เกื้อดรุณ	k-vva-z^-2|d-a-z^-0|r-u-n^-0|
พิพิธภัณฑ์	ph-i-z^-3|ph-i-t^-3|th-a-z^-1|ph-a-n^-0|
เอ	z-ee-z^-0|
โดะ	d-o-z^-1|
โตเกียว	t-oo-z^-0|k-iia-w^-0|
เมจิ	m-ee-z^-0|c-i-z^-1|
นิกาย	n-i-z^-3|k-aa-j^-0|
เซน	s-ee-n^-0|
วิสุทธิ์	w-i-z^-3|s-u-t^-1|
บรรยาย	b-a-n^-0|j-aa-j^-0|
ป๊า	p-aa-z^-3|
ห่ม	h-o-m^-1|
สกอต	s-@@-z^-0|k-@@-t^-3|
ลิปตัส	l-i-p^-3|t-a-s^-3|
กายกรรม	k-aa-j^-0|j-a-z^-3|k-a-m^-0|
เปียง	p-iia-ng^-0|
รางวัล	r-aa-ng^-0|w-a-n^-0|
เหรียญ	r-iia-n^-4|
ลูกค้า	l-uu-k^-2|kh-aa-z^-3|
กิ่ง	k-i-ng^-1|
นู	n-uu-z^-0|
แก้ว	k-xx-w^-2|
เถาะ	th-@-z^-1|
วัง	w-a-ng^-0|
เย็น	j-e-n^-0|
ด่า	d-aa-z^-1|
แกน	k-xx-n^-0|
ชูวิทย์	ch-uu-z^-0|w-i-t^-3|
กุ่ย	k-u-j^-1|
อึ๊บ	z-v-p^-3|
แบม	b-xx-m^-0|
จณิส	c-a-z^-1|n-i-t^-3|
วงศ์	w-o-ng^-0|
นันทวัฒน์	n-a-n^-0|th-a-z^-0|w-a-t^-3|
โฆษณา	kh-oo-t^-2|s-a-z^-0|n-a-z^-0|
สะอาด	s-a-z^-1|z-aa-t^-1|
บรีซ	br-ii-t^-1|
ประกัน	pr-a-z^-1|k-a-n^-0|
แพ้	ph-xx-z^-3|
แก๊ส	k-xx-s^-3|
พิษ	ph-i-t^-3|
อาเจียน	z-aa-z^-0|c-iia-n^-0|
สังเกต	s-a-ng^-4|k-ee-t^-1|
รอด	r-@@-t^-2|
วิกฤตการณ์	w-i-z^-3|kr-i-t^-1|t-a-z^-1|k-aa-n^-0|
ก่น	k-o-n^-1|
อนุบาล	z-a-z^-1|n-u-z^-3|b-aa-n^-0|
ผูบ้อ	ph-uu-z^-4|b-@@-z^-2|
เจ้ง	c-ee-ng^-2|
อารมณ์	z-aa-z^-0|r-o-m^-0|
ห่อ	h-@@-z^-1|
ก๋วยเตี๋ยว	k-uua-j^-4|t-iia-w^-4|
ผัด	ph-a-t^-1|
ทำลาย	th-a-m^-0|l-aa-j^-0|
ธรรมชาติ	th-a-m^-0|m-a-z^-3|ch-aa-t^-2|
เฉพาะ	ch-a-z^-0|ph-@-z^-3|
ไหล	l-a-j^-4|
ล้น	l-o-n^-3|
ควบ	kh-uua-p^-2|
อุตุนิยม	z-u-z^-1|t-u-z^-1|n-i-z^-3|j-o-m^-0|
วิทยา	w-i-t^-3|th-a-z^-0|j-aa-z^-0|
พร้าว	phr-aa-w^-3|
เชียง	ch-iia-ng^-0|
ราก	r-aa-k^-2|
กระดาษ	kr-a-z^-1|d-aa-t^-1|
ปรู๊ฟ	pr-uu-f^-3|
ท่วม	th-uua-m^-2|
คลัง	khl-a-ng^-0|
อารี	z-aa-z^-0|r-ii-z^-0|
เฟลสเชอร์	fl-ee-s^-3|ch-qq-z^-0|
ทำเนียบ	th-a-m^-0|n-iia-p^-2|
ยินดี	j-i-n^-0|d-ii-z^-0|
วิเคราะห์	w-i-z^-3|khr-@-z^-3|
วิตก	w-i-z^-3|t-o-k^-1|
สถาบัน	s-a-z^-1|th-aa-z^-4|b-a-n^-0|
สเตรทไทม์	s-a-z^-1|tr-ee-t^-1|th-aa-m^-0|
จักร	c-a-k^-1|
ขบวน	kh-a-z^-1|b-uua-n^-0|
รุม	r-u-m^-0|
ไหว้	w-a-j^-2|
โขยง	kh-a-z^-1|j-oo-ng^-4|
หลอก	l-@@-k^-1|
ไอโอดีน	z-a-j^-0|z-oo-z^-0|d-ii-n^-0|
ค้น	kh-o-n^-3|
โภชนาการ	ph-oo-t^-2|ch-a-z^-0|n-aa-z^-0|k-aa-n^-0|
ครรภ์	kh-a-n^-0|
มุข	m-u-k^-3|
เด็ด	d-e-t^-1|
แสยะ	s-a-z^-1|j-x-z^-1|
ฝี	f-ii-z^-4|
ตระการ	tr-a-z^-1|k-aa-n^-0|
พฤกษา	phr-v-k^-3|s-a-z^-4|
ษณี	s-a-z^-1|n-ii-z^-0|
โศก	s-oo-k^-1|
เบลอ	bl-qq-z^-0|
ดูแล	d-uu-z^-0|l-xx-z^-0|
ชิด	ch-i-t^-3|
จอม	c-@@-m^-0|
หึง	h-v-ng^-4|
มอส	m-@@-s^-3|
เติ้ล	t-qq-l^-2|
ลิฟท์	l-i-f^-3|
กตัญญู	k-a-z^-0|t-a-n^-0|j-uu-z^-0|
ติดต่อ	t-i-t^-1|t-@@-z^-1|
ปฏิภาณ	p-a-z^-1|t-i-z^-1|ph-aa-n^-0|
กรกฎาคม	k-a-z^-0|r-a-z^-3|k-a-z^-0|d-aa-z^-0|kh-o-m^-0|
เกียรติยศ	k-iia-t^-1|t-i-z^-1|j-o-t^-3|
บัลเลต์	b-a-l^-0|l-ee-z^-2|
คลาสสิก	khl-aa-s^-3|s-i-k^-1|
มอสโก	m-@@-s^-3|k-oo-z^-0|
จำนน	c-a-m^-0|n-o-n^-0|
ทะเลาะ	th-a-z^-3|l-@-z^-3|
แอน	z-xx-n^-0|
แทร็กซ์	thr-x-k^-1|
ปา	p-aa-z^-0|
กี	k-ii-z^-0|
แคระ	khr-x-z^-3|
แกร็น	kr-x-n^-0|
ซูเคอร์หมุน	s-uu-z^-0|kh-qq-z^-2|m-u-n^-4|
วอลเลย์	w-@@-l^-0|l-ee-z^-2|
ระยะ	r-a-z^-3|j-a-z^-3|
หลา	l-aa-z^-4|
เจี๋ยน	c-iia-n^-4|
ศึกษาธิการ	s-v-k^-1|s-aa-z^-4|th-i-z^-3|k-aa-n^-0|
ทบวง	th-a-z^-3|b-uua-ng^-0|
ทุ่ม	th-u-m^-2|
ปฏิรูป	p-a-z^-1|t-i-z^-0|r-uu-p^-2|
ท่าม	th-aa-m^-2|
ปลื้ม	pl-vv-m^-2|
ปีติ	p-ii-z^-0|t-i-z^-1|
แขก	kh-xx-k^-1|
เหรื่อ	r-vva-z^-1|
ตึก	t-v-k^-1|
แถว	th-xx-w^-4|
คูหา	kh-uu-z^-0|h-aa-z^-4|
ทราย	s-aa-j^-0|
นอง	n-@@-ng^-0|
สาด	s-aa-t^-1|
กระเซ็น	kr-a-z^-1|s-e-n^-0|
ปุก	p-u-k^-1|
อ๋อ	z-@@-z^-4|
อืด	z-vv-t^-1|
หนอน	n-@@-n^-4|
ไต่	t-a-j^-1|
ยั้ว	j-uua-z^-3|
เยี้ย	j-iia-z^-3|
ปะปน	p-a-z^-1|p-o-n^-0|
เหลือง	l-vva-ng^-4|
เยิ้ม	j-qq-m^-3|
สม	s-o-m^-4|
นั่น	n-a-n^-2|
ชัดเจน	ch-a-t^-3|c-ee-n^-0|
ประสิทธิ์	pr-a-z^-1|s-i-t^-1|
มาย	m-aa-j^-0|
เคลียร์	khl-iia-z^-0|
จันทร์	c-a-n^-0|
จตุ	c-a-z^-1|t-u-z^-1|
พล	ph-o-n^-0|
ทอล์กโฉ่	th-@@-k^-3|ch-oo-z^-1|
โต้	t-oo-z^-2|
พัลวัน	ph-a-n^-0|l-a-z^-3|w-a-n^-0|
เปล่า	pl-a-w^-1|
หิ้ว	h-i-w^-2|
จ	c-@@-z^-0|
ตุ	t-u-z^-1|
ภู	ph-uu-z^-0|
เกือบ	k-vva-p^-1|
ประ	pr-a-z^-1|
ดิษฐ	d-i-t^-1|
มนู	m-a-z^-0|n-uu-z^-0|
ธรรม	th-a-m^-0|
คลี่	khl-ii-z^-2|
เสพ	s-ee-p^-1|
มุ่ง	m-u-ng^-2|
ย้อน	j-@@-n^-3|
มั่ว	m-uua-z^-2|
เพลี้ย	phl-iia-z^-3|
มีนาคม	m-ii-z^-0|n-aa-z^-0|kh-o-m^-0|
เงาะ	ng-@-z^-3|
ไร่	r-a-j^-2|
หมวก	m-uua-k^-1|
ไหม	m-a-j^-4|
บัง	b-a-ng^-0|
แคท	kh-xx-t^-3|
ทูต	th-uu-t^-2|
ต้าน	t-aa-n^-2|
แลก	l-xx-k^-2|
มาเลเซีย	m-aa-z^-0|l-ee-z^-0|s-iia-z^-0|
ต๋าว	t-aa-w^-4|
เก่ง	k-ee-ng^-1|
สันต์	s-a-n^-4|
เงี่ย	ng-iia-z^-2|
ฟัง	f-a-ng^-0|
พลตรี	ph-o-n^-0|tr-ii-z^-0|
ส	s-a-z^-0|
พรั่ง	phr-a-ng^-2|
กัลยาณมิตร	k-a-n^-0|l-a-z^-0|j-aa-z^-0|n-a-z^-3|m-i-t^-3|
รัฐวิสาหกิจ	r-a-t^-3|th-a-z^-3|w-i-z^-3|s-aa-z^-4|h-a-z^-1|k-i-t^-1|
ร่ำรวย	r-a-m^-2|r-uua-j^-0|
ดุคย์	d-u-k^-3|
เอดินเบอระ	z-ee-z^-0|d-i-n^-0|b-qq-z^-0|r-a-z^-3|
ผสม	ph-a-z^-1|s-o-m^-4|
ฟลู	fl-uu-z^-0|
ออ	z-@@-z^-0|
ไรด์	r-a-j^-0|
นุ่ม	n-u-m^-2|
โต	t-oo-z^-0|
ขวบ	kh-uua-p^-1|
ฉบับ	ch-a-z^-1|b-a-p^-1|
ปรับปรุง	pr-a-p^-1|pr-u-ng^-1|
ใช่แฟ็กซ์	ch-a-j^-2|f-x-k^-1|
สำเนา	s-a-m^-4|n-a-w^-0|
เร่ง	r-ee-ng^-2|
เทแอสฟัสต์	th-ee-z^-0|z-xx-s^-1|f-a-s^-3|
ตี	t-ii-z^-0|
จราจร	c-a-z^-1|r-aa-z^-0|c-@@-n^-0|
สระปทุม	s-a-z^-1|p-a-z^-1|th-u-m^-0|
แมลง	m-a-z^-0|l-xx-ng^-0|
ฝ้าย	f-aa-j^-2|
ปอ	p-@@-z^-0|
ปีก	p-ii-k^-1|
แข็ง	kh-x-ng^-4|
เซนติเมตร	s-ee-n^-0|t-i-z^-1|m-ee-t^-3|
กันยายน	k-a-n^-0|j-aa-z^-0|j-o-n^-0|
ต้ม	t-o-m^-2|
นุ้ย	n-u-j^-3|
เปรต	pr-ee-t^-1|
บงการ	b-o-ng^-0|k-aa-n^-0|
จำเลย	c-a-m^-0|l-qq-j^-0|
เหยียบ	j-iia-p^-1|
พระพุทธ	phr-a-z^-3|ph-u-t^-3|t-a-z^-0|
แหวน	w-xx-n^-4|
คำราม	kh-a-m^-0|r-aa-m^-0|
กระจุย	kr-a-z^-1|c-u-j^-0|
แจว	c-xx-w^-0|
จ้าง	c-aa-ng^-2|
แหม่ม	m-xx-m^-1|
ถัง	th-a-ng^-4|
สเกิร์ต	s-a-z^-1|k-qq-t^-3|
แวว	w-xx-w^-0|
เพลี่ยงพล้ำ	phl-iia-ng^-2|phl-a-m^-3|
สั่น	s-a-n^-1|
อุทกภัย	z-u-z^-1|th-o-k^-3|k-a-z^-1|ph-a-j^-0|
สาเหตุ	s-aa-z^-4|h-ee-t^-1|
เปลี่ยนแปลง	pl-iia-n^-1|pl-xx-ng^-0|
สภาวะ	s-a-z^-1|ph-aa-z^-0|w-a-z^-3|
เคลื่อน	khl-vva-n^-2|
โค	kh-oo-z^-0|
กระบือ	kr-a-z^-1|b-vv-z^-0|
กัก	k-a-k^-1|
จ่า	c-aa-z^-1|
ชาญชัย	ch-aa-n^-0|ch-a-j^-0|
มิตรเมี้ยน	m-i-t^-3|m-iia-n^-3|
ภูธร	ph-uu-z^-0|th-@@-n^-0|
ละหานทราย	l-a-z^-3|h-aa-n^-4|s-aa-j^-0|
ทรงกลด	s-o-ng^-0|kl-o-t^-1|
แนสแด็กส์	n-xx-s^-3|d-x-k^-1|
แกว่ง	kw-xx-ng^-1|
ผัน	ph-a-n^-4|
ผวน	ph-uua-n^-4|
ดอลลาร์	d-@-l^-0|l-aa-z^-2|
แน่ใจ	n-xx-z^-2|c-a-j^-0|
เทรดเดอร์	thr-ee-t^-2|d-qq-z^-0|
ลอก	l-@@-k^-2|
ข้อสอบ	kh-@@-z^-2|s-@@-p^-1|
วัยรุ่น	w-a-j^-0|r-u-n^-2|
แขวน	khw-xx-n^-4|
โคม	kh-oo-m^-0|
เตียง	t-iia-ng^-0|
ประสาน	pr-a-z^-1|s-aa-n^-4|
ลุย	l-u-j^-0|
เล้า	l-a-w^-3|
ชิง	ch-i-ng^-0|
ท้องถิ่น	th-@@-ng^-3|th-i-n^-1|
หวัง	w-a-ng^-4|
หาดยาย	h-aa-t^-1|j-aa-j^-0|
พะโต๊ะ	ph-a-z^-3|t-o-z^-3|
บุตรยะวิทย์	b-u-t^-1|j-a-z^-3|w-i-t^-3|
ยืนยัน	j-vv-n^-0|j-a-n^-0|
ฟู	f-uu-z^-0|
จิซึ	c-i-z^-1|s-v-z^-3|
ป่าจี้	p-aa-z^-1|c-ii-z^-2|
แม่เหียะ	m-xx-z^-2|h-ia-z^-4|
เชียงใหม่	ch-iia-ng^-0|m-a-j^-1|
พิธี	ph-i-z^-3|th-ii-z^-0|
บวง	b-uua-ng^-0|
สรวง	s-uua-ng^-4|
วิญญาณ	w-i-n^-0|j-aa-n^-0|
แสะ	s-x-z^-1|
ย่า	j-aa-z^-2|
หางดง	h-aa-ng^-4|d-o-ng^-0|
เทิ้ม	th-qq-m^-3|
ถมึง	th-a-z^-1|m-v-ng^-4|
ทึง	th-v-ng^-0|
ชุบ	ch-u-p^-3|
สมาร์ทการ์ด	s-a-z^-1|m-aa-t^-3|k-aa-t^-3|
พื้นที่	ph-vv-n^-3|th-ii-z^-2|
ลาด	l-aa-t^-2|
ตระเวน	tr-a-z^-1|w-ee-n^-0|
พยาน	ph-a-z^-3|j-aa-n^-0|
ภักดิพร	ph-a-k^-3|d-i-z^-1|ph-@@-n^-0|
กราด	kr-aa-t^-1|
เถื่อน	th-vva-n^-1|
ปาล์ม	p-aa-m^-0|
เพลี้ยด้วง	phl-iia-z^-3|d-uua-ng^-2|
ขว้าง	khw-aa-ng^-2|
ก้อน	k-@@-n^-2|
ขวด	kh-uua-t^-1|
เบียร์	b-iia-z^-0|
จวน	c-uua-n^-0|
ฮาร์ดคอร์	h-aa-t^-0|kh-@@-z^-0|
เสี่ยง	s-iia-ng^-1|
ท้า	th-aa-z^-3|
ทาย	th-aa-j^-0|
พิสมัย	ph-i-t^-3|s-a-z^-0|m-a-j^-4|
สัก	s-a-k^-1|
หนัง	n-a-ng^-4|
พลเมือง	ph-o-n^-0|l-a-z^-0|m-vva-ng^-0|
โอเวอร์บรุ๊ค	z-oo-z^-0|w-qq-z^-0|br-u-k^-3|
เป๋	p-ee-z^-4|
กาญจนบุรี	k-aa-n^-0|c-a-z^-1|n-a-z^-3|b-u-z^-1|r-ii-z^-0|
เหน่อ	n-qq-z^-1|
อังคาร	z-a-ng^-0|kh-aa-n^-0|
สัปดาห์	s-a-p^-1|d-aa-z^-0|
นก	n-o-k^-3|
เลิฟเบิร์ด	l-qq-f^-2|b-qq-t^-1|
เขี้ยว	kh-iia-w^-2|
จินุชนันท์	c-i-z^-1|n-u-t^-3|ch-a-z^-0|n-a-n^-0|
สุขสวัสดิ์	s-u-k^-1|s-a-z^-1|w-a-t^-1|
ประเดิม	pr-a-z^-1|d-qq-m^-0|
ชอยจิชุล	ch-@@-j-0|c-i-z^-0|ch-u-l^-0|
ฮวางซุนฮอง	h-aa-ng^-0|s-u-n^-0|h-@@-ng^-0|
รูดี้โฟลเลอร์	r-uu-z^-0|d-ii-z^-2|fl-oo-z^-0|l-qq-z^-2|
กุน	k-u-n^-0|
ซือเยอรมัน	j-qq-z^-0|r-a-z^-0|m-a-n^-0|
โอลิเวอร์	z-oo-z^-0|l-i-z^-0|w-qq-z^-2|
เบียร์โฮฟ	b-iia-z^-0|h-oo-f^-3|
แทน	th-xx-n^-0|
โคลเซ	khl-oo-z^-0|s-ee-z^-2|
บรรลุ	b-a-n^-0|l-u-z^-3|
ปราชัย	pr-aa-z^-0|ch-a-j^-0|
เวมบลีย์	w-ee-m^-0|bl-ii-z^-0|
กุส	k-u-s^-3|
ฮิดดิงค์	h-i-t^-3|d-i-ng^-2|
ฮอลแลนด์	h-@@-l^-0|l-xx-n^-0|
โสม	s-oo-m^-4|
เทพเจ้า	th-ee-p^-2|ph-a-z^-0|c-a-w^-2|
ล่อ	l-@@-z^-2|
แหลม	l-xx-m^-4|
หมิ่นเหม่	m-i-n^-1|m-ee-z^-1|
อาวุธ	z-aa-z^-0|w-u-t^-3|
มิตรชัย	m-i-t^-3|ch-a-j^-0|
งม	ng-o-m^-0|
กุ้ง	k-u-ng^-2|
แทรฟฟิค	thr-xx-f^-3|f-i-k^-2|
สมทบ	s-o-m^-4|th-o-p^-3|
เยี่ยม	j-iia-m^-2|
เจนนิเฟอร์	c-ee-n^-0|n-i-z^-0|f-qq-z^-2|
คอนเนลลี	kh-@@-n^-0|n-ee-l^-0|l-ii-z^-2|
แซมมวล	s-xx-m^-0|m-uua-l^-0|
แอลิตร	z-xx-z^-0|l-i-t^-3|
แจ็คสัน	c-x-k^-3|s-a-n^-4|
สารคดี	s-aa-z^-4|r-a-z^-3|kh-a-z^-3|d-ii-z^-0|
ภาพยนตร์	ph-aa-p^-2|ph-a-z^-3|j-o-n^-0|
การ์ตูน	k-aa-z^-0|t-uu-n^-0|
คาเมรอน	kh-aa-z^-0|m-ee-z^-0|r-@@-n^-2|
ดิแอซ	d-i-z^-0|z-xx-t^-3|
ย่าง	j-aa-ng^-2|
รัสเซลโครว์	r-a-s^-3|s-ee-l^-0|khr-oo-z^-0|
แกลดดิเอเตอร์	kl-xx-t^-3|d-i-z^-0|z-ee-z^-0|t-qq-z^-2|
อนุชิต	z-a-z^-1|n-u-z^-3|ch-i-t^-3|
แบล็กฮอว์กดาวน์	bl-x-k^-3|h-@@-k^-2|d-aa-w^-0|
ข้อง	kh-@@-ng^-2|
เข	kh-ee-z^-4|
เดือหน่วย	d-vva-z^-0|n-uua-j^-1|
เชิดชัย	ch-qq-t^-2|ch-a-j^-0|
เนรมิตตกพงศ์	n-ee-z^-0|r-a-z^-3|m-i-t^-3|t-a-z^-1|k-a-z^-1|ph-o-ng-0|
กำกับ	k-a-m^-0|k-a-p^-1|
สัตหีบ	s-a-t^-1|t-a-z^-1|h-ii-p^-1|
ทันใด	th-a-n^-0|d-a-j^-0|
เปรี๊ยะ	pr-ia-z^-3|
เครน	khr-ee-n^-0|
แตร	tr-xx-z^-0|
น้ำค้าง	n-aa-m^-3|kh-aa-ng^-3|
หงส์	h-o-ng^-4|
สนุ้กเกอร์	s-a-z^-1|n-u-k^-3|k-qq-z^-2|
แซ่	s-xx-z^-2|
อ้าย	z-aa-j^-2|
ลื้อ	l-vv-z^-3|
เจ็กนั้ง	c-e-k^-1|n-a-ng^-3|
